"Date","URL","Endid","Title","Brand_name","Position"
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/benodet/sunelia-lescale-saint-gilles/camping","83696","Camping Sunêlia L'Escale Saint Gilles","Eurocamp",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/benodet/sunelia-lescale-saint-gilles/camping","83696","Camping Sunêlia L'Escale Saint Gilles","Allcamps",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/benodet/sunelia-lescale-saint-gilles/camping","83696","Camping Sunêlia L'Escale Saint Gilles","Go4holiday",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/benodet/sunelia-lescale-saint-gilles/camping","83696","Camping Sunêlia L'Escale Saint Gilles","Lux-camp",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/benodet/sunelia-lescale-saint-gilles/camping","83696","Camping Sunêlia L'Escale Saint Gilles","Canvas Holidays",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/benodet/sunelia-lescale-saint-gilles/camping","83696","Camping Sunêlia L'Escale Saint Gilles","D-reizen",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/benodet/sunelia-lescale-saint-gilles/camping","83696","Camping Sunêlia L'Escale Saint Gilles","Vacanceselect",7
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/benodet/sunelia-lescale-saint-gilles/camping","83696","Camping Sunêlia L'Escale Saint Gilles","AlleReizenOp1Site.nl",8
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/lathuile-haute-savoie/les-fontaines/camping","88881","Camping Les Fontaines","Eurocamp",1
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/lathuile-haute-savoie/les-fontaines/camping","88881","Camping Les Fontaines","Happy Tent",2
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/lathuile-haute-savoie/les-fontaines/camping","88881","Camping Les Fontaines","Allcamps",3
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/lathuile-haute-savoie/les-fontaines/camping","88881","Camping Les Fontaines","Go4holiday",4
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/lathuile-haute-savoie/les-fontaines/camping","88881","Camping Les Fontaines","Lux-camp",5
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/lathuile-haute-savoie/les-fontaines/camping","88881","Camping Les Fontaines","Venue Holidays",6
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/lathuile-haute-savoie/les-fontaines/camping","88881","Camping Les Fontaines","AlleReizenOp1Site.nl",7
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ravoire/camping","88912","Camping La Ravoire","Eurocamp",1
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ravoire/camping","88912","Camping La Ravoire","Lux-camp",2
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ravoire/camping","88912","Camping La Ravoire","Allcamps",3
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ravoire/camping","88912","Camping La Ravoire","Go4holiday",4
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ravoire/camping","88912","Camping La Ravoire","Canvas Holidays",5
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ravoire/camping","88912","Camping La Ravoire","D-reizen",6
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ravoire/camping","88912","Camping La Ravoire","AlleReizenOp1Site.nl",7
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ferme-de-la-serraz/camping","88913","Camping La ferme de la Serraz","Allcamps",1
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ferme-de-la-serraz/camping","88913","Camping La ferme de la Serraz","Go4holiday",2
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ferme-de-la-serraz/camping","88913","Camping La ferme de la Serraz","Vacanceselect",3
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ferme-de-la-serraz/camping","88913","Camping La ferme de la Serraz","De Jong Intra",4
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ferme-de-la-serraz/camping","88913","Camping La ferme de la Serraz","Canvas Holidays",5
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ferme-de-la-serraz/camping","88913","Camping La ferme de la Serraz","Lux-camp",6
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ferme-de-la-serraz/camping","88913","Camping La ferme de la Serraz","D-reizen",7
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ferme-de-la-serraz/camping","88913","Camping La ferme de la Serraz","Eurocamp",8
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/doussard-haute-savoie/la-ferme-de-la-serraz/camping","88913","Camping La ferme de la Serraz","AlleReizenOp1Site.nl",9
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/le-bourg-doisans/rcn-belledonne/camping","155027","Camping RCN Belledonne","Eurocamp",1
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/le-bourg-doisans/rcn-belledonne/camping","155027","Camping RCN Belledonne","Allcamps",2
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/le-bourg-doisans/rcn-belledonne/camping","155027","Camping RCN Belledonne","Go4holiday",3
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/le-bourg-doisans/rcn-belledonne/camping","155027","Camping RCN Belledonne","Lux-camp",4
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/le-bourg-doisans/rcn-belledonne/camping","155027","Camping RCN Belledonne","RCN Vakantieparken ",5
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/le-bourg-doisans/rcn-belledonne/camping","155027","Camping RCN Belledonne","Booking.com",6
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/le-bourg-doisans/rcn-belledonne/camping","155027","Camping RCN Belledonne","D-reizen",7
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/le-bourg-doisans/rcn-belledonne/camping","155027","Camping RCN Belledonne","AlleReizenOp1Site.nl",8
2019-06-25,"https://www.zoover.nl/frankrijk/rhone-alps/le-bourg-doisans/rcn-belledonne/camping","155027","Camping RCN Belledonne","Expedia.nl",9
2019-06-25,"https://www.zoover.nl/frankrijk/poitou-charentes/st-georges-doleron-ile-doleron/le-domaine-doleron/camping","88198","Camping Le Domaine d'Oléron","Allcamps",1
2019-06-25,"https://www.zoover.nl/frankrijk/poitou-charentes/st-georges-doleron-ile-doleron/le-domaine-doleron/camping","88198","Camping Le Domaine d'Oléron","Go4holiday",2
2019-06-25,"https://www.zoover.nl/frankrijk/poitou-charentes/st-georges-doleron-ile-doleron/le-domaine-doleron/camping","88198","Camping Le Domaine d'Oléron","Lux-camp",3
2019-06-25,"https://www.zoover.nl/frankrijk/poitou-charentes/st-georges-doleron-ile-doleron/le-domaine-doleron/camping","88198","Camping Le Domaine d'Oléron","Vacanceselect",4
2019-06-25,"https://www.zoover.nl/frankrijk/poitou-charentes/st-georges-doleron-ile-doleron/le-domaine-doleron/camping","88198","Camping Le Domaine d'Oléron","Canvas Holidays",5
2019-06-25,"https://www.zoover.nl/frankrijk/poitou-charentes/st-georges-doleron-ile-doleron/le-domaine-doleron/camping","88198","Camping Le Domaine d'Oléron","Eurocamp",6
2019-06-25,"https://www.zoover.nl/frankrijk/poitou-charentes/st-georges-doleron-ile-doleron/le-domaine-doleron/camping","88198","Camping Le Domaine d'Oléron","AlleReizenOp1Site.nl",7
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","Eurocamp",1
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","Vacanceselect",2
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","De Jong Intra",3
2019-06-25,"https://www.zoover.nl/oostenrijk/salzburg/bruck-an-der-groglocknerstrae/sportcamp-woferlgut/camping","128602","Camping Sportcamp Woferlgut","Allcamps",4
